app_mags x_int y_int satids   feh     age     mact 
-------- ----- ----- ------ -------- ------ -------
  26.609   280   378    425 -0.66357 9.5703  1.1836
  25.781   282   376    425 -0.66943 9.6094  1.1846
    27.0   280   378    425  -0.6748 9.6328  1.1533
  27.016   282   376    425 -0.67139 9.6172  1.1699
  26.391   275   375    425 -0.67529 9.6406   1.124
  25.609   279   373    425 -0.68213 9.6719   1.126
  26.875   279   373    425 -0.68457 9.6797  1.1133
  26.094   279   377    425 -0.70117 9.7344  1.0674
  24.891   280   370    425  -0.7002 9.7344  1.0596
  24.094   281   372    425  -0.7041 9.7422  1.0479
  26.609   274   370    425 -0.70898 9.7578  1.0107
  24.469   279   371    425 -0.75049 9.8438 0.94043
  25.734   281   372    425 -0.75439 9.8516 0.92529
  25.688   278   375    425 -0.76953  9.875 0.91016
  27.078   276   372    425 -0.75781 9.8594 0.97949
   26.75   273   370    425 -0.77148  9.875 0.96533
  24.828   279   371    425 -0.78418 9.8906   0.896
    27.0   280   373    425 -0.78125 9.8906 0.96631
  26.672   282   371    425  -0.7876 9.8984 0.94824
  26.422   281   378    425 -0.80322 9.9141 0.93457
  27.078   279   371    425 -0.80713 9.9141 0.93652
  23.766   279   374    425 -0.82227 9.9297 0.87891
  27.109   275   378    425 -0.83154 9.9375 0.91943
  26.719   278   374    425 -0.89502 9.9766 0.88916
  24.844   281   371    425 -0.90576 9.9844 0.87109
  25.984   279   380    425 -0.90771 9.9844 0.88232
  26.203   279   375    425 -0.92871   10.0 0.87158
  24.266   277   373    425 -0.98779 10.023 0.79688
  25.219   277   375    425  -1.1826  10.07 0.81006
  25.203   279   369    425  -1.3232 10.086 0.79248
  25.969   276   372    425  -1.2988 10.078 0.74658
  25.969   249   415    425 -0.68799 9.6953  1.0615
  26.828   255   412    425 -0.87402 9.9688 0.84131
  26.594   252   415    425 -0.66406 9.5781  1.1836
  26.422   252   419    425  -0.6709 9.6172  1.1445
  26.641   252   412    425 -0.67627 9.6406   1.124
  24.563   251   411    425 -0.69092 9.7031  1.0859
  26.203   252   412    425 -0.76123 9.8594  0.9248
  26.156   254   412    425 -0.76563 9.8672 0.97607
  25.734   249   411    425 -0.94678 10.008 0.86865
  25.891   250   419    425 -0.98242 10.016 0.79688
  26.719   228   364    425 -0.66406 9.5781  1.2041
  25.844   225   366    425 -0.67334  9.625   1.168
  26.578   225   362    425 -0.70117 9.7344  1.0693
  25.313   231   359    425 -0.71582 9.7813  1.0342
  25.969   234   361    425 -0.82617 9.9297 0.91504
  27.109   225   360    425 -0.89697 9.9844 0.89014
  23.453   242   389    425 -0.66504 9.5859  1.1777
  26.375   252   397    425 -0.66992 9.6094  1.1689
  24.813   253   390    425  -0.7207 9.7891  1.0293
  26.844   245   393    425 -0.75586 9.8516   0.979
  25.219   243   396    425 -0.84766 9.9531 0.84619
  26.938   266   370    425 -0.65869 9.5391  1.2393
  25.922   265   373    425  -0.6626 9.5703  1.2207
  26.438   265   371    425 -0.66504 9.5859  1.2041
   26.75   266   370    425  -0.6792 9.6563  1.1289
  26.828   265   372    425 -0.69189 9.7031  1.0986
  26.672   267   371    425 -0.68945 9.6953  1.0986
  26.203   265   372    425 -0.69775 9.7266   1.083
  23.828   266   372    425 -0.72656 9.8047 0.99561
  23.063   263   371    425 -0.73584 9.8203  1.0215
  23.156   267   371    425  -0.7373 9.8203  1.0264
  26.141   266   371    425 -0.76611 9.8672  0.9248
  26.703   263   371    425 -0.79199 9.8984 0.94824
  26.266   265   371    425 -0.82715 9.9375  0.9165
  24.313   265   370    425 -0.85254 9.9531 0.84619
  23.391   264   373    425 -0.87158 9.9688 0.91846
  27.109   266   372    425  -1.0508 10.039 0.84473
  25.516   265   372    425  -1.2832 10.078 0.79834
  25.375   247   403    425 -0.67285  9.625  1.1445
  26.328   249   404    425 -0.68896 9.6953  1.0977
  24.141   245   402    425 -0.71631 9.7813  1.0186
  26.344   243   403    425 -0.71777 9.7813    1.04
  26.844   248   406    425 -0.79736 9.9063 0.94873
  24.047   246   405    425  -0.8125 9.9219 0.90576
  26.328   243   405    425 -0.83008 9.9375 0.85986
  26.359   248   406    425 -0.88623 9.9766 0.82813
  25.453   246   403    425  -1.2676 10.078 0.79736
  25.859   249   404    425  -2.0234 10.109 0.77588
  26.328   286   329    425 -0.68408 9.6797  1.1123
  25.625   281   331    425 -0.84424 9.9453  0.9126
  25.313   286   325    425 -0.88281 9.9766 0.88037
  26.391   280   327    425 -0.97363 10.016 0.85742
  25.203   285   381    425 -0.66064 9.5547  1.2051
  26.141   283   386    425 -0.69385 9.7109   1.082
  25.734   290   375    425 -0.69629 9.7188  1.0449
  26.031   289   386    425 -0.70459   9.75  1.0283
  27.063   294   382    425 -0.91113 9.9844 0.88721
  26.422   252   402    425 -0.69189 9.7031  1.0977
    27.0   257   402    425 -0.85303 9.9531 0.90723
    27.0   315   279    425 -0.68799 9.6953  1.0986
  26.781   319   275    425 -0.70459   9.75  1.0693
  26.844   316   273    425 -0.76904  9.875 0.96582
  26.813   258   369    425 -0.67041 9.6172  1.1699
  26.453   251   373    425 -0.70703 9.7578  1.0547
  23.016   239   413    425  -0.6582 9.5391  1.2324
  25.281   229   410    425 -0.66699 9.5938  1.1826
   25.25   237   415    425  -0.6709 9.6172  1.1445
     ...   ...   ...    ...      ...    ...     ...
  26.766   308   299    569  -1.9121 10.109 0.78027
  25.594   302   301    569   -2.373 10.109 0.75684
  26.688   311   292    569  -2.1367 10.109 0.76563
  24.984   302   342    569  -3.3906 10.117 0.71924
  26.453   308   300    569  -2.1211 10.109 0.76465
  26.828   308   298    569  -2.1133 10.109 0.76709
  26.828   308   299    569  -1.9375 10.109 0.72998
  26.906   308   281    569  -1.9629 10.109 0.78076
  24.266   308   299    569  -2.0449 10.109 0.72998
  26.406   327   257    569  -1.9287 10.109 0.77881
  24.844   307   300    569  -2.2617 10.109 0.74512
    26.0   308   299    569  -2.2852 10.109 0.76123
  25.438   308   298    569  -2.1602 10.109 0.75488
  25.156   309   298    569  -2.8086 10.109 0.75098
  27.078   307   296    569  -2.0488 10.109 0.71924
  25.813   307   299    569  -1.8867 10.109 0.77539
  26.719   307   299    569   -2.418 10.109 0.76611
  25.453   309   300    569  -2.3105 10.109 0.75537
   26.75   306   298    569  -4.0039 10.117 0.71924
  26.266   308   300    569  -2.8965 10.109 0.76318
  25.156   308   299    569  -1.8945 10.109 0.76953
  26.672   308   299    569  -3.0547 10.109 0.76563
  25.109   308   300    569  -2.3379 10.109    0.75
   26.75   307   300    569  -3.1074 10.109  0.7666
  27.078   303   295    569  -2.1406 10.109 0.76855
  26.875   307   299    569  -1.9443 10.109 0.78076
  24.078   307   299    569  -2.1348 10.109 0.72363
  26.297   308   301    569   -2.166 10.109 0.76318
  27.031   308   300    569  -3.0547 10.109 0.76807
  26.531   306   299    569  -2.2559 10.109 0.76465
  26.719   309   298    569  -2.5742 10.109 0.76611
  23.938   306   299    569  -2.7949 10.109 0.71777
    26.5   315   303    569  -1.9893 10.109  0.7793
  27.016   308   300    569   -1.958 10.109 0.78174
  26.625   311   302    569  -1.9053 10.109 0.77979
  27.094   308   299    569  -2.0508 10.109 0.71924
  25.703   308   300    569  -1.9395 10.109 0.73047
  26.641   307   299    569  -2.1875 10.109 0.76563
  26.266   307   305    569  -3.7031 10.117 0.71924
  27.078   307   300    569  -2.3965 10.109 0.76855
  25.672   307   300    569  -3.7832 10.117 0.75781
  24.063   308   299    569  -2.2285 10.109 0.72314
  26.391   307   299    569  -2.3184 10.109 0.71924
  26.391   308   296    570   -2.709 10.109 0.71924
  25.969   308   301    570   -3.457 10.117 0.76074
  24.734   320   304    570  -3.1719 10.109 0.74316
  26.078   322   290    570   -2.582 10.109 0.76172
  26.813   314   298    570  -2.4609 10.109 0.71924
  26.734   305   303    570  -2.5156 10.109  0.7666
  26.438   310   300    570  -3.0137 10.109 0.76416
  25.094   309   302    570  -2.7441 10.109    0.75
  26.297   221   310    570  -2.4785 10.109 0.76318
  24.719   300   282    570   -3.873 10.117 0.74268
  24.094   319   303    570  -3.6426 10.117 0.72461
  26.016   306   300    570  -2.5859 10.109 0.76123
  26.391   310   304    570  -3.9375 10.117 0.71924
  24.922   308   300    570  -2.8086 10.109 0.74658
  26.453   309   300    570  -2.4336 10.109 0.71924
  27.016   311   293    570  -2.6953 10.109 0.71924
  25.594   245   301    570  -3.9844 10.117 0.75684
  24.969   302   297    570   -2.582 10.109 0.74756
  25.719   295   315    571  -2.8906 10.109 0.71924
  27.078   307   300    571  -3.6191 10.117 0.76855
  27.016   307   298    571  -2.9688 10.109 0.76807
  27.094   374   274    571  -3.6816 10.117 0.76855
  23.938   305   304    571  -3.9336 10.117 0.71777
  25.031   307   300    571  -3.1504 10.109 0.74902
  26.719   310   299    571  -2.9961 10.109 0.76611
   26.75   308   301    571  -4.0117 10.117  0.7666
  24.266   322   286    571  -3.3047 10.109 0.73047
  26.984   303   301    571  -3.9551 10.117 0.76807
  26.359   304   302    571  -2.7754 10.109 0.71924
  26.875   293   309    571  -4.0117 10.117 0.76758
  26.453   297   237    571  -2.9375 10.109 0.71924
  25.797   307   299    571  -4.0078 10.117 0.71924
  26.828   301   300    571   -3.957 10.117 0.76709
  26.938   350   378    571  -3.3438 10.109 0.76807
  25.797   308   299    572  -4.0039 10.117 0.71924
    27.0   309   298    572   -2.832 10.109 0.76807
  24.578   299   296    572   -3.248 10.109 0.73926
  26.281   304   298    572  -3.0371 10.109 0.71924
  26.953   308   300    572     -4.0 10.117 0.76807
  24.875   308   300    572  -3.1035 10.109 0.74609
  25.844   308   300    574  -3.8398 10.117 0.75977
  26.141   307   299    574  -3.4277 10.109 0.76221
  26.094   309   299    574  -4.0039 10.117 0.76172
  25.922   308   299    574  -3.3984 10.109 0.71924
  25.063   308   300    574  -3.4277 10.109 0.74951
  27.094   308   300    574  -4.0039 10.117 0.76855
  25.578   307   297    574  -3.7305 10.117 0.75684
  26.938   308   299    574  -3.6875 10.117 0.76758
  26.281   308   305    574  -4.0039 10.117 0.71924
  27.047   309   300    574  -3.8535 10.117 0.76855
    26.5   308   299    574  -4.0039 10.117 0.76465
  25.875   308   299    574  -3.5313 10.117 0.71924
  26.766   306   298    574  -3.9883 10.117  0.7666
  26.375   308   299    574  -3.5918 10.117 0.76367
  26.734   392   418    574     -4.0 10.117  0.7666
Length = 1647096 rows
